,uname,label,catmaid_names,type,side,neurotransmitter,locality,neuropil,source,skid
269,KC_16627838,KC,KC49?,KC,left,acetylcholine,local,MB,Eichler2017,16627838
270,KC_3522293,KC,KC5,KC,right,acetylcholine,local,MB,Eichler2017,3522293
271,KC_8419602,KC,KC50,KC,right,acetylcholine,local,MB,Eichler2017,8419602
272,KC_8427677,KC,KC51,KC,right,acetylcholine,local,MB,Eichler2017,8427677
273,KC_8504660,KC,KC52,KC,right,acetylcholine,local,MB,Eichler2017,8504660
274,KC_8509987,KC,KC53,KC,right,acetylcholine,local,MB,Eichler2017,8509987
275,KC_6704232,KC,KC54,KC,left,acetylcholine,local,MB,Eichler2017,6704232
276,KC_8559607,KC,KC54,KC,right,acetylcholine,local,MB,Eichler2017,8559607
277,KC_8723397,KC-young,KC55 young,KC,right,acetylcholine,local,MB,Eichler2017,8723397
278,KC_8761400,KC-young,KC56 young,KC,right,acetylcholine,local,MB,Eichler2017,8761400
279,KC_8764750,KC-very-young,KC57 very young,KC,right,acetylcholine,local,MB,Eichler2017,8764750
280,KC_8765865,KC-very-young,KC58 very young,KC,right,acetylcholine,local,MB,Eichler2017,8765865
281,KC_8766921,KC-young,KC59 young,KC,right,acetylcholine,local,MB,Eichler2017,8766921
282,KC_3565102,KC-young,KC6 young,KC,right,acetylcholine,local,MB,Eichler2017,3565102
283,KC_8773165,KC-very-young,KC60 very young,KC,right,acetylcholine,local,MB,Eichler2017,8773165
284,KC_8773716,KC-very-young,KC61 very young,KC,right,acetylcholine,local,MB,Eichler2017,8773716
285,KC_8773879,KC-young,KC62 young,KC,right,acetylcholine,local,MB,Eichler2017,8773879
286,KC_8792120,KC-young,KC63 young,KC,right,acetylcholine,local,MB,Eichler2017,8792120
287,KC_8835968,KC,KC64,KC,right,acetylcholine,local,MB,Eichler2017,8835968
288,KC_5937084,KC,KC65;_42a left,KC,left,acetylcholine,local,MB,Eichler2017,5937084
289,KC_8850802,KC,KC65;_42a right,KC,right,acetylcholine,local,MB,Eichler2017,8850802
290,KC_8891315,KC,KC66,KC,right,acetylcholine,local,MB,Eichler2017,8891315
291,KC_8924186,KC,KC67,KC,right,acetylcholine,local,MB,Eichler2017,8924186
292,KC_16939375,KC,KC67,KC,left,acetylcholine,local,MB,Eichler2017,16939375
293,KC_8957325,KC-young,KC68 young,KC,right,acetylcholine,local,MB,Eichler2017,8957325
294,KC_8978117,KC-young,KC69 young,KC,right,acetylcholine,local,MB,Eichler2017,8978117
295,KC_3587612,KC,KC7,KC,right,acetylcholine,local,MB,Eichler2017,3587612
296,KC_8997281,KC,KC70,KC,right,acetylcholine,local,MB,Eichler2017,8997281
297,KC_9012340,KC-young,KC71 young,KC,right,acetylcholine,local,MB,Eichler2017,9012340
298,KC_4117305,KC,KC72,KC,left,acetylcholine,local,MB,Eichler2017,4117305
299,KC_16720240,KC,KC72,KC,right,acetylcholine,local,MB,Eichler2017,16720240
300,KC_16850888,KC,KC73,KC,right,acetylcholine,local,MB,Eichler2017,16850888
301,KC_9511772,KC-young,KC74 young,KC,right,acetylcholine,local,MB,Eichler2017,9511772
302,KC_9517477,KC-young,KC75 young,KC,right,acetylcholine,local,MB,Eichler2017,9517477
303,KC_9525492,KC,KC76,KC,right,acetylcholine,local,MB,Eichler2017,9525492
304,KC_9531722,KC,KC77,KC,right,acetylcholine,local,MB,Eichler2017,9531722
305,KC_9556700,KC,KC78,KC,right,acetylcholine,local,MB,Eichler2017,9556700
306,KC_16631114,KC,KC78?,KC,left,acetylcholine,local,MB,Eichler2017,16631114
307,KC_9574259,KC-young,KC79 young,KC,right,acetylcholine,local,MB,Eichler2017,9574259
308,KC_3605630,KC-young,KC8 young,KC,right,acetylcholine,local,MB,Eichler2017,3605630
309,KC_9578602,KC-young,KC80 young,KC,right,acetylcholine,local,MB,Eichler2017,9578602
310,KC_9606354,KC-very-young,KC81 very young,KC,right,acetylcholine,local,MB,Eichler2017,9606354
311,KC_9609048,KC,KC82,KC,right,acetylcholine,local,MB,Eichler2017,9609048
312,KC_15722867,KC,KC82,KC,left,acetylcholine,local,MB,Eichler2017,15722867
313,KC_9707941,KC,KC83,KC,right,acetylcholine,local,MB,Eichler2017,9707941
314,KC_9730873,KC,KC84,KC,right,acetylcholine,local,MB,Eichler2017,9730873
315,KC_9741463,KC-young,KC85 young,KC,right,acetylcholine,local,MB,Eichler2017,9741463
316,KC_9766793,KC,KC86,KC,right,acetylcholine,local,MB,Eichler2017,9766793
317,KC_9769559,KC-very-young,KC87 very young,KC,right,acetylcholine,local,MB,Eichler2017,9769559
318,KC_9770016,KC-very-young,KC88 very young,KC,right,acetylcholine,local,MB,Eichler2017,9770016
319,KC_9782026,KC-young,KC89 young,KC,right,acetylcholine,local,MB,Eichler2017,9782026
320,KC_3679411,KC-young,KC9 young,KC,right,acetylcholine,local,MB,Eichler2017,3679411
321,KC_9796812,KC,KC90,KC,right,acetylcholine,local,MB,Eichler2017,9796812
322,KC_16977881,KC,KC90,KC,left,acetylcholine,local,MB,Eichler2017,16977881
323,KC_9809626,KC,KC91,KC,right,acetylcholine,local,MB,Eichler2017,9809626
324,KC_9813188,KC,KC92,KC,right,acetylcholine,local,MB,Eichler2017,9813188
325,KC_9847388,KC,KC93,KC,right,acetylcholine,local,MB,Eichler2017,9847388
326,KC_9889095,KC,KC94,KC,right,acetylcholine,local,MB,Eichler2017,9889095
327,KC_9897223,KC,KC95,KC,right,acetylcholine,local,MB,Eichler2017,9897223
328,KC_10056280,KC,KC96,KC,right,acetylcholine,local,MB,Eichler2017,10056280
329,KC_10169396,KC,KC97,KC,right,acetylcholine,local,MB,Eichler2017,10169396
330,KC_10246566,KC-young,KC98 young,KC,right,acetylcholine,local,MB,Eichler2017,10246566
331,KC_10259967,KC,KC99,KC,right,acetylcholine,local,MB,Eichler2017,10259967
332,KC_8262372,LON-KC,LON KC left,KC,left,acetylcholine,local,MB,Eichler2017,8262372
333,KC_8068173,LON-KC,LON KC right,KC,right,acetylcholine,local,MB,Eichler2017,8068173
334,DAN-b1_8689674,DAN-b1,MBE10a left,MBIN,left,dopamine,input,MB,Eichler2017,8689674
335,DAN-b1_8319311,DAN-b1,MBE10a right,MBIN,right,dopamine,input,MB,Eichler2017,8319311
336,DAN-b2_17295912,DAN-b2,MBE10b left,MBIN,left,dopamine,input,MB,Eichler2017,17295912
337,DAN-b2_16353832,DAN-b2,MBE10b right,MBIN,right,dopamine,input,MB,Eichler2017,16353832
338,MBON-b2_16782830,MBON-b2,MBE11b left,MBON,left,GABA,output,MB,Eichler2017,16782830
339,MBON-b2_9469519,MBON-b2,MBE11b right,MBON,right,GABA,output,MB,Eichler2017,9469519
340,APL_15571194,APL,MBE12 left,APL,left,GABA,local,MB,Eichler2017,15571194
341,APL_3234817,APL,MBE12 right,APL,right,GABA,local,MB,Eichler2017,3234817
342,MBON-h1_8338584,MBON-h1,MBE13a left,MBON,left,GABA,output,MB,Eichler2017,8338584
343,MBON-h1_4195012,MBON-h1,MBE13a right,MBON,right,GABA,output,MB,Eichler2017,4195012
344,MBON-h2_8798010,MBON-h2,MBE13b left,MBON,left,GABA,output,MB,Eichler2017,8798010
345,MBON-h2_4230749,MBON-h2,MBE13b right,MBON,right,GABA,output,MB,Eichler2017,4230749
346,MBON-g1_4401350,MBON-g1,MBE15a left,MBON,left,GABA,output,MB,Eichler2017,4401350
347,MBON-g1_4598363,MBON-g1,MBE15a right,MBON,right,GABA,output,MB,Eichler2017,4598363
348,MBON-g2_5395823,MBON-g2,MBE15b left,MBON,left,GABA,output,MB,Eichler2017,5395823
349,MBON-g2_11524047,MBON-g2,MBE15b right,MBON,right,GABA,output,MB,Eichler2017,11524047
350,MBON-c1_8980589,MBON-c1,MBE18 right,MBON,right,acetylcholine,output,MB,Eichler2017,8980589
351,MBIN-l1_4381129,MBIN-l1,MBE19 left,MBIN,left,unknown,input,MB,Eichler2017,4381129
352,MBIN-l1_15404207,MBIN-l1,MBE19 right,MBIN,right,unknown,input,MB,Eichler2017,15404207
353,DAN-k1_12871993,DAN-k1,MBE1b left,MBIN,left,dopamine,input,MB,Eichler2017,12871993
354,DAN-k1_4884579,DAN-k1,MBE1b right,MBIN,right,dopamine,input,MB,Eichler2017,4884579
355,DAN-i1_7057894,DAN-i1,MBE1c left,MBIN,left,dopamine,input,MB,Eichler2017,7057894
356,DAN-i1_6611894,DAN-i1,MBE1c right,MBIN,right,dopamine,input,MB,Eichler2017,6611894
357,DAN-j1_4414163,DAN-j1,MBE1d left,MBIN,left,dopamine,input,MB,Eichler2017,4414163
358,DAN-j1_4414184,DAN-j1,MBE1d right,MBIN,right,dopamine,input,MB,Eichler2017,4414184
359,MBON-m1_17016974,MBON-m1,MBE20 left,MBON,left,GABA,output,MB,Eichler2017,17016974
360,MBON-m1_4022539,MBON-m1,MBE20 right,MBON,right,GABA,output,MB,Eichler2017,4022539
361,OAN-g1_11525714,OAN-g1,MBE22 left,MBIN,left,octopamine,input,"MB,SEZ",Eichler2017,11525714
362,OAN-g1_12805363,OAN-g1,MBE22 right,MBIN,right,octopamine,input,"MB,SEZ",Eichler2017,12805363
363,DAN-e1_12475432,DAN-e1,MBE24a left,MBIN,left,dopamine,input,MB,Eichler2017,12475432
364,DAN-e1_3890028,DAN-e1,MBE24a right,MBIN,right,dopamine,input,MB,Eichler2017,3890028
365,MBON-p1_11017761,MBON-p1,MBE26 left,MBON,left,unknown,output,MB,Eichler2017,11017761
366,MBON-p1_16178283,MBON-p1,MBE26 right,MBON,right,unknown,output,MB,Eichler2017,16178283
367,MBON-j1_3299214,MBON-j1,MBE2a right,MBON,right,glutamate,output,MB,Eichler2017,3299214
368,MBON-q1_7910624,MBON-q1,MBE2as left,MBON,left,unknown,output,MB,Eichler2017,7910624
369,MBON-q1_7897469,MBON-q1,MBE2as right,MBON,right,unknown,output,MB,Eichler2017,7897469
370,MBON-d2_15810983,MBON-d2,MBE30 left,MBON,left,unknown,output,MB,Eichler2017,15810983
371,MBON-d2_6699205,MBON-d2,MBE30 right,MBON,right,unknown,output,MB,Eichler2017,6699205
372,MBON-b3_16883909,MBON-b3,MBE33 left,MBON,left,unknown,output,MB,Eichler2017,16883909
373,MBON-b3_4234009,MBON-b3,MBE33 right,MBON,right,unknown,output,MB,Eichler2017,4234009
374,DAN-f1_7901791,DAN-f1,MBE4a left,MBIN,left,dopamine,input,MB,Eichler2017,7901791
375,DAN-f1_2506050,DAN-f1,MBE4a right,MBIN,right,dopamine,input,MB,Eichler2017,2506050
376,DAN-g1_4381377,DAN-g1,MBE4f left,MBIN,left,dopamine,input,MB,Eichler2017,4381377
377,DAN-g1_10673895,DAN-g1,MBE4f right,MBIN,right,dopamine,input,MB,Eichler2017,10673895
378,DAN-c1_15592096,DAN-c1,MBE4g left,MBIN,left,dopamine,input,MB,Eichler2017,15592096
379,DAN-c1_16240569,DAN-c1,MBE4g right,MBIN,right,dopamine,input,MB,Eichler2017,16240569
380,DAN-d1_3886356,DAN-d1,MBE4h left,MBIN,left,dopamine,input,MB,Eichler2017,3886356
381,DAN-d1_5966099,DAN-d1,MBE4h right,MBIN,right,dopamine,input,MB,Eichler2017,5966099
382,MBON-i1_7802210,MBON-i1,MBE5a left,MBON,left,glutamate,output,MB,Eichler2017,7802210
383,MBON-i1_16797672,MBON-i1,MBE5a right,MBON,right,glutamate,output,MB,Eichler2017,16797672
384,MBON-d1_7055857,MBON-d1,MBE6 left,MBON,left,GABA,output,MB,Eichler2017,7055857
385,MBON-d1_4241237,MBON-d1,MBE6 right,MBON,right,GABA,output,MB,Eichler2017,4241237
386,MBON-a1_8877158,MBON-a1,MBE7a left,MBON,left,acetylcholine,output,MB,Eichler2017,8877158
387,MBON-a1_10163418,MBON-a1,MBE7a right,MBON,right,acetylcholine,output,MB,Eichler2017,10163418
388,MBON-a2_17355757,MBON-a2,MBE7b left,MBON,left,acetylcholine,output,MB,Eichler2017,17355757
389,MBON-a2_15617305,MBON-a2,MBE7b right,MBON,right,acetylcholine,output,MB,Eichler2017,15617305
390,OAN-e1_7983899,OAN-e1,MBE9a left,MBIN,left,octopamine,input,MB,Eichler2017,7983899
391,OAN-e1_7616956,OAN-e1,MBE9a right,MBIN,right,octopamine,input,MB,Eichler2017,7616956
392,KC-Thermo_A_8118474,KC-Thermo-A,Thermo KC A_Left   -   Mushroom Body  Right,KC,left,acetylcholine,local,MB,Eichler2017,8118474
393,KC-Thermo_A_4229950,KC-Thermo-A,Thermo KC A_Right - Mushroom Body  Left,KC,left,acetylcholine,local,MB,Eichler2017,4229950
394,KC-Thermo_B_7187384,KC-Thermo-B,Thermo KC B_left - mbi2 - unknown,KC,left,acetylcholine,local,MB,Eichler2017,7187384
395,KC-Thermo_B_3664102,KC-Thermo-B,Thermo KC B_right - mbi2 - unknown,KC,right,acetylcholine,local,MB,Eichler2017,3664102
396,OAN-a1_17068730,OAN-a1,Ladder (olfactory) ant.,MBIN,bilateral,octopamine,input,MB,"Eichler2017,Berck2016",17068730
397,OAN-a2_3813487,OAN-a2,Ladder (olfactory) post.,MBIN,bilateral,octopamine,input,MB,"Eichler2017,Berck2016",3813487
398,PN-13a_8244823,PN-13a,13a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8244823
399,PN-1a_7865696,PN-1a,1a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",7865696
400,PN-1a_8252067,PN-1a,1a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8252067
401,PN-24a_7198338,PN-24a,24a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",7198338
402,PN-30a_8256186,PN-30a,30a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8256186
403,PN-35a_7934904,PN-35a,35a PN bilateral left,uPN,left,acetylcholine,output,"AL,SEZ","Eichler2017,Berck2016,Miroschnikow2018",7934904
404,PN-42b_8245692,PN-42b,42b PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8245692
405,PN-45a_7852250,PN-45a,45a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",7852250
406,PN-45a_8247451,PN-45a,45a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8247451
407,PN-45b_7107433,PN-45b,45b PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",7107433
408,PN-47a_&_33b_8246750,PN-47a-&-33b,47a & 33b PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8246750
409,PN-59a_8245014,PN-59a,59a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8245014
410,PN-63a_7845346,PN-63a,63a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",7845346
411,PN-74a_7843730,PN-74a,74a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",7843730
412,PN-74a_8140109,PN-74a,74a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8140109
413,PN-83a_8243455,PN-83a,83a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8243455
414,PN-94a_&_94b_8399890,PN-94a-&-94b,94a & 94b PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",8399890
415,mPN-iACT_b-lower_11543212,mPN-iACT-biL-lower,mPN iACT bilateral LOWER right,mPN,right,unknown,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",11543212
416,mPN-iACT_C2_4391978,mPN-iACT-C2,mPN iACT C2 right,mPN,right,unknown,output,AL,"Eichler2017,Berck2016,Miroschnikow2018",4391978
417,nc-LaN1_7555968,nc-LaN1,nc1;right,VPN,right,acetylcholine,output,LON,"Eichler2017,Larderet2017,Miroschnikow2018",7555968
418,CPLd_8598886,CPLd,3rd-order Thermo right; CPLd interneuron,CPLd,right,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",8598886
419,AVL011-Left_4985759,AVL011-PN,AVL011 PN Left,LHN,left,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",4985759
420,AVL011_9291474,AVL011-PN,AVL011 PN Right,LHN,right,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",9291474
421,LHN_4620453,AVL011-PN,AVL011 PN Right 2?,LHN,unknown,unknown,unknown,unknown,"Eichler2017,Miroschnikow2018",4620453
422,LHN_4152020,LHN,from upper looping PN - peptidergic right,LHN,unknown,unknown,unknown,unknown,"Eichler2017,Miroschnikow2018",4152020
423,PN-Gustatory_11333054,PN-Gustatory,Gustatory PN left,PN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",11333054
424,LH-MB_17434825,LH-bilateral-axon-2-MB,LH bilateral axon 2 MB_left; BLVa12 b 3,"LHN,LHON,MB2ON,CN",left,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",17434825
425,LH-MB_16485079,LH-bilateral-axon-2-MB,LH bilateral axon 2 MB_right; BLVa12 b 3,"LHN,LHON,MB2ON,CN",right,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",16485079
426,PN-Lower_Looping_4154421,PN-Lower-Looping,Lower Looping PN Left - AVM004,PN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",4154421
427,PN-Lower_Looping_3690921,PN-Lower-Looping,Lower Looping PN Right - AVM004 (BAla1/2),PN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",3690921
428,MBON-b1_17147698,MBON-b1,MBE11a left,MBON,left,GABA,output,MB,"Eichler2017,Miroschnikow2018",17147698
429,MBON-b1_8094859,MBON-b1,MBE11a right,MBON,right,GABA,output,MB,"Eichler2017,Miroschnikow2018",8094859
430,MBON-e2_8922644,MBON-e2,MBE16 left,MBON,left,glutamate,output,MB,"Eichler2017,Miroschnikow2018",8922644
431,MBON-e2_8297018,MBON-e2,MBE16 right,MBON,right,glutamate,output,MB,"Eichler2017,Miroschnikow2018",8297018
432,MBON-c1_16223537,MBON-c1,MBE18 left,MBON,left,acetylcholine,output,MB,"Eichler2017,Miroschnikow2018",16223537
433,MBON-n1_15398730,MBON-n1,MBE23 left,MBON,left,unknown,output,MB,"Eichler2017,Miroschnikow2018",15398730
434,MBON-n1_6703240,MBON-n1,MBE23 right,MBON,right,unknown,output,MB,"Eichler2017,Miroschnikow2018",6703240
435,MBON-o1_16868923,MBON-o1,MBE24b left,MBON,left,unknown,output,MB,"Eichler2017,Miroschnikow2018",16868923
436,MBON-j1_15421363,MBON-j1,MBE2a left,MBON,left,glutamate,output,MB,"Eichler2017,Miroschnikow2018",15421363
437,MBON-f1_15253921,MBON-f1,MBE34 left,MBON,left,unknown,output,MB,"Eichler2017,Miroschnikow2018",15253921
438,MBON-f1_4598109,MBON-f1,MBE34 right,MBON,right,unknown,output,MB,"Eichler2017,Miroschnikow2018",4598109
439,MBON-d3_9109799,MBON-d3,MBE35 left,MBON,left,unknown,output,MB,"Eichler2017,Miroschnikow2018",9109799
440,MBON-d3_9074101,MBON-d3,MBE35 right,MBON,right,unknown,output,MB,"Eichler2017,Miroschnikow2018",9074101
441,MBON-k1_16846805,MBON-k1,MBE5b left,MBON,left,glutamate,output,MB,"Eichler2017,Miroschnikow2018",16846805
442,MBON-e1_14082322,MBON-e1,MBE9b left,MBON,left,acetylcholine,output,MB,"Eichler2017,Miroschnikow2018",14082322
443,MBON-e1_7840791,MBON-e1,MBE9b right,MBON,right,acetylcholine,output,MB,"Eichler2017,Miroschnikow2018",7840791
444,mPN-BAmd1-g_10160250,mPN-BAmd1-g,mPN BAmd1-g left,mPN,left,unknown,output,AL,"Eichler2017,Miroschnikow2018",10160250
445,mPN-BAmd1-g_3450751,mPN-BAmd1-g,mPN BAmd1-g right,mPN,right,unknown,output,AL,"Eichler2017,Miroschnikow2018",3450751
446,PN-non-olfactory_11067379,PN-non-olfactory,non-olfactory PN left,PN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",11067379
447,PN-non-olfactory_4393049,PN-non-olfactory,non-olfactory PN right,PN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",4393049
448,PN-in_Olfactory_Bundle_1_7092086,PN-in-Olfactory-Bundle-1,PN in Olfactory Bundle 1 left,PN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",7092086
449,PN-in_Olfactory_Bundle_1_4876704,PN-in-Olfactory-Bundle-1,PN in Olfactory Bundle 1 right,PN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",4876704
450,PN-in_Olfactory_Bundle_2_8012953,PN-in-Olfactory-Bundle-2,PN in Olfactory Bundle 2 left,PN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",8012953
451,PN-in_Olfactory_Bundle_2_8254894,PN-in-Olfactory-Bundle-2,PN in Olfactory Bundle 2 right,PN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",8254894
452,PPLV-2_9747418,PPLV-2,PPLV - 2 Left (maybe PVL014c),LHN,left,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",9747418
453,PVL005-2_4635057,PVL005-2,PVL005 - 2 Left,LHN,left,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",4635057
454,LHN_9275210,PVL005-2,PVL005 - 2 Right (V1); BLVa34 a 11,LHN,unknown,unknown,unknown,unknown,"Eichler2017,Miroschnikow2018",9275210
455,PVL005-1_12948470,PVL005-1,PVL005 1 left,LHN,left,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",12948470
456,PVL005-1_7971031,PVL005-1,PVL005 1 right,LHN,right,unknown,unknown,MB,"Eichler2017,Miroschnikow2018",7971031
457,PN-Upper_Looping_4108016,PN-Upper-Looping,Upper Looping PN Left - AVM004,PN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018",4108016
458,LHN_2921933,LHN-V1,V1: possible PVL005 - 3 Right,LHN,right,unknown,local,LH,"Eichler2017,Miroschnikow2018",2921933
459,PN-13a_4493199,PN-13a,13a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",4493199
460,PN-22c_7865652,PN-22c,22c PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7865652
461,PN-22c_8248631,PN-22c,22c PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8248631
462,PN-24a_8245869,PN-24a,24a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8245869
463,PN-30a_7916593,PN-30a,30a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7916593
464,PN-33a_8021456,PN-33a,33a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8021456
465,PN-33a_13589251,PN-33a,33a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",13589251
466,PN-35a_7935088,PN-35a,35a PN bilateral right,uPN,right,acetylcholine,output,"AL,SEZ","Eichler2017,Miroschnikow2018,Berck2016",7935088
467,PN-42a_3486381,PN-42a,42a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",3486381
468,PN-42a_8244723,PN-42a,42a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8244723
469,PN-42b_7873135,PN-42b,42b PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7873135
470,PN-45b_8253413,PN-45b,45b PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8253413
471,PN-47a_&_33b_7092417,PN-47a-&-33b,47a & 33b PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7092417
472,PN-49a_7515491,PN-49a,49a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7515491
473,PN-49a_11279244,PN-49a,49a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",11279244
474,PN-59a_7864823,PN-59a,59a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7864823
475,PN-63a_8245513,PN-63a,63a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8245513
476,PN-67b_16259595,PN-67b,67b PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",16259595
477,PN-67b_8246081,PN-67b,67b PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8246081
478,PN-82a_7851153,PN-82a,82a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7851153
479,PN-82a_8245146,PN-82a,82a PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",8245146
480,PN-83a_7865767,PN-83a,83a PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",7865767
481,PN-85c_4354933,PN-85c,85c PN left,uPN,left,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",4354933
482,PN-85c_14604028,PN-85c,85c PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",14604028
483,PN-94a_&_94b_4651929,PN-94a-&-94b,94a & 94b PN right,uPN,right,acetylcholine,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",4651929
484,mPN-iACT_A1_4119387,mPN-iACT-A1,mPN iACT A1 right,mPN,right,unknown,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",4119387
485,mPN-iACT_b-lower_3712893,mPN-iACT-biL-lower,mPN iACT bilateral LOWER left,mPN,left,unknown,output,"AL,SEZ","Eichler2017,Miroschnikow2018,Berck2016",3712893
486,mPN-iACT_b-upper_16795838,mPN-iACT-biL-upper,mPN iACT bilateral UPPER left,mPN,left,unknown,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",16795838
487,mPN-iACT_b-upper_16795524,mPN-iACT-biL-upper,mPN iACT bilateral UPPER right,mPN,right,unknown,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",16795524
488,mPN-iACT_C2_2612527,mPN-iACT-C2,mPN iACT C2 left,mPN,left,unknown,output,AL,"Eichler2017,Miroschnikow2018,Berck2016",2612527
489,CN_9141404,CN-A,A ; 4th order Thermo_left,"MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,9141404
490,CN_16691937,CN-A,A ; 4th order Thermo_right,"MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,16691937
491,LHN_17150791,LHN-AB,AB_left,LHN,left,unknown,local,LH,Eschbach2020,17150791
492,LHN_8712361,LHN-AB,AB_right,LHN,right,unknown,local,LH,Eschbach2020,8712361
493,"LHN,MB2ON,FBN,CN_10209260",LHN-AE,AE_left,"LHN,MB2ON,FBN,CN",left,unknown,unknown,unknown,Eschbach2020,10209260
494,"LHN,MB2ON,FBN,CN_17437719",LHN-AE,AE_right,"LHN,MB2ON,FBN,CN",right,unknown,unknown,unknown,Eschbach2020,17437719
495,"LHN,MB2ON_11528017",LHN-AF11,AF11: check if new 3rd BME  (ipsi PDL right?) neuron 11528018,"LHN,MB2ON",right,unknown,unknown,unknown,Eschbach2020,11528017
496,"LHN,MB2ON_12233237",LHN-AF11,AF11: ipsi PDL left,"LHN,MB2ON",left,unknown,unknown,unknown,Eschbach2020,12233237
